Aiteen Thirtythree (IRE),2004,Gelding,Old Vic,Prudent View (IRE),Paul Nicholls,,,139,129
Aiyana ,2010,Filly,Indian Haven ,Coventina (IRE),Hughie Morrison,67,,,
Ajeeb (USA),2008,Gelding,Harlan's Holiday (USA),Fair Settlement (USA),Michael Scudamore,45,55,,
Ajig ,2011,Filly,Bahamian Bounty ,Atwirl ,Eve Johnson Houghton,71,,,
Ajjaadd (USA),2006,Gelding,Elusive Quality (USA),Millstream (USA),Ted Powell,97,,,
Ajman (IRE),2005,Gelding,Orpen (USA),Grand Madam ,Evan Williams,,,,102
Ajman Bridge ,2010,Colt,Dubawi (IRE),Rice Mother (IRE),Luca Cumani,92,,,
Ajmany (IRE),2010,Gelding,Kheleyf (USA),Passarelle (USA),Luca Cumani,89,,,
Ajraam (USA),2010,Gelding,Daaher (CAN),Abby Road (IRE),Charles Hills,92,,,
Ajzal (IRE),2004,Gelding,Alhaarth (IRE),Alkaffeyeh (IRE),Ed de Giles,,,99,
Akarana (IRE),2007,Gelding,Danehill Dancer (IRE),Castle Quest (IRE),Willie Musson,49,,,
Akarshan (IRE),2005,Gelding,Intikhab (USA),Akdara (IRE),Evan Williams,,,,112
Akbabend ,2006,Gelding,Refuse To Bend (IRE),Akdariya (IRE),Chris Gordon,66,,115,115
Akdam (IRE),2010,Gelding,Dubai Destination (USA),Akdara (IRE),Tony Carroll,67,,,119
Akula (IRE),2007,Gelding,Soviet Star (USA),Danielli (IRE),Mark H. Tompkins,,,110,
Al Alfa ,2007,Gelding,Alflora (IRE),Two For Joy (IRE),Philip Hobbs,,,115,
Al Amaan ,2005,Gelding,Nayef (USA),Siobhan ,Jamie Poulton,61,,,78
Al Aqabah (IRE),2005,Filly,Redback ,Snow Eagle (IRE),Brian Gubby,60,65,,
Al Arish (IRE),2010,Gelding,Iffraaj ,Flash And Dazzle (IRE),Lady Cecil,71,,,
Al Baz ,2011,Colt,Sixties Icon ,Aileen's Gift (IRE),James Tate,89,,,
Al Co (FR),2005,Gelding,Dom Alco (FR),Carama (FR),Peter Bowen,,,138,135
Al Enbess (IRE),2010,Gelding,Kyllachy ,Taghreed (IRE),Ruth Carr,63,,,
Al Ferof (FR),2005,Gelding,Dom Alco (FR),Maralta (FR),Paul Nicholls,,,168,
Al Freej (IRE),2009,Filly,Iffraaj ,Why Now ,Brian Ellison,75,76,,
Al Furat (USA),2008,Gelding,El Prado (IRE),No Frills (IRE),Ron Barr,56,,,
Al Gharrafa ,2010,Filly,Dutch Art ,Smart Ass (IRE),Rae Guest,61,,,
Al Guwair (IRE),2010,Gelding,Shirocco (GER),Katariya (IRE),Lady Cecil,66,,,
Al Jamal ,2010,Filly,Authorized (IRE),Kydd Gloves (USA),Saeed bin Suroor,82,,,
Al Kazeem ,2008,Colt,Dubawi (IRE),Kazeem ,Roger Charlton,124,,,
Al Khan (IRE),2009,Gelding,Elnadim (USA),Popolo (IRE),Ann Stokell,82,,,
Al Khawaneej Star (USA),2011,Gelding,Arch (USA),Frolic Away (USA),Michael Bell,67,,,
Al Manaal ,2010,Filly,Echo of Light ,Mall Queen (USA),Saeed bin Suroor,80,,,
Al Meezan ,2010,Gelding,Nayef (USA),Festivale (IRE),John Butler,64,,,
Al Muheer (IRE),2005,Gelding,Diktat ,Dominion Rose (USA),Ruth Carr,80,,,
Al Mukhdam ,2010,Gelding,Exceed And Excel (AUS),Sakhya (IRE),Ed de Giles,84,,,
Al Qeddaaf (IRE),2006,Gelding,Alhaarth (IRE),Just Special ,Donald McCain,,,113,
Al Raqeeb (IRE),2010,Gelding,Lawman (FR),Caerlina (IRE),Gary Harrison,73,,,
Al Saham ,2009,Gelding,Authorized (IRE),Local Spirit (USA),Saeed bin Suroor,91,,,
Al Shababiya (IRE),2007,Filly,Dubawi (IRE),Multaka (USA),Tom Gretton,,,,82
Al Thumama ,2010,Filly,Byron ,Tanwir ,Kevin Ryan,69,,,
Al Udeid (IRE),2010,Gelding,Verglas (IRE),Gold Strike (IRE),Kevin Ryan,78,,,
Al Waab (IRE),2010,Colt,Danehill Dancer (IRE),Aunt Julia ,Lady Cecil,109,,,
Al Zein ,2010,Colt,Notnowcato ,Luminda (IRE),Richard Hannon,49,,,
Alaccordion ,2005,Gelding,Alflora (IRE),Song For Jess (IRE),Violet M. Jordan,,,,77
Alaivan (IRE),2006,Gelding,Kalanisi (IRE),Alaya (IRE),Jonjo O'Neill,,,,134
Alakhan (IRE),2006,Gelding,Dalakhani (IRE),Alte Kunst (IRE),Ian Williams,77,,,
Alanjou (FR),2010,Gelding,Maresca Sorrento (FR),Partie Time (FR),Jamie Snowden,,,,114
Alasi ,2004,Filly,Alflora (IRE),Anamasi,Paul Webber,,,140,138
Alaskan Bullet (IRE),2009,Gelding,Kodiac ,Czars Princess (IRE),Brian Ellison,78,,,
Alaskan Night (IRE),2011,Gelding,Kodiac ,Fingal Nights (IRE),Kevin Ryan,57,,,
Alba King (IRE),2006,Gelding,Beauchamp King ,Alba Dancer ,Sue Smith,,,92,
Albamara ,2009,Filly,Galileo (IRE),Albanova ,Sir Mark Prescott Bt,91,,,
Albaqaa ,2005,Gelding,Medicean ,Basbousate Nadia ,P. J. O'Gorman,83,,,
Albasharah (USA),2009,Filly,Arch (USA),Desert Gold (USA),Saeed bin Suroor,108,,,
Alben Star (IRE),2008,Gelding,Clodovil (IRE),Secret Circle ,Richard Fahey,92,,,
Alberobello (IRE),2008,Gelding,Old Vic,Tourist Attraction (IRE),Jeremy Scott,,,,116
Albert Bridge ,2008,Gelding,Hernando (FR),Alvarita ,Emma Lavelle,88,84,,
Albertas Run (IRE),2001,Gelding,Accordion,Holly Grove Lass,Jonjo O'Neill,,,166,
